date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:12:22	90/90	U-----	200	untouched ('OK')	text/plain	etag:%22a65754c80b839f4e54bd4faaf4663445%22	https://verapath.com/robots.txt		(from )
07:12:22	300832/300832	U-----	200	untouched ('OK')	text/html	etag:%226c38325e790c3a797cbb96c2722c9bd1%22	https://verapath.com/	C:/My%20Web%20Sites/verapath/verapath.com/index.html	(from )
07:13:04	207870/207870	U-----	200	untouched ('OK')	text/html	etag:%22f4d44e156082e85c5c50ea0274e519eb%22	https://verapath.com/about	C:/My%20Web%20Sites/verapath/verapath.com/about.html	(from https://verapath.com/)
07:13:04	213185/213185	U-----	200	untouched ('OK')	text/html	etag:%22ca98fd479caa2a29c1c7b6bc9dfbd7da%22	https://verapath.com/contact	C:/My%20Web%20Sites/verapath/verapath.com/contact.html	(from https://verapath.com/)
07:14:38	4753/4753	U-----	200	untouched ('')	image/png	etag:%22702c2bd65b8f4e1eb91246f7ed204ffb%22	https://framerusercontent.com/images/8sGBwgWgPGuPqZH2sqTQuCsiYI0.png	C:/My%20Web%20Sites/verapath/framerusercontent.com/images/8sGBwgWgPGuPqZH2sqTQuCsiYI0.png	(from https://verapath.com/)
07:14:38	785223/785223	U-----	200	untouched ('')	image/png	etag:%22d84f8d56980bb440065e829a19939603%22	https://framerusercontent.com/images/U4vrknxxC74JV4t7pxGB9nCY.png?width=1920&height=1080	C:/My%20Web%20Sites/verapath/framerusercontent.com/images/U4vrknxxC74JV4t7pxGB9nCY88ac.png	(from https://verapath.com/)
07:14:38	13452/13452	U-----	200	untouched ('')	image/png	etag:%22377c13a2ca75a289bbeefe87cba661eb%22	https://framerusercontent.com/images/INnVxaCloRc7oHsYIBXSV8zD4.png?width=1002&height=377	C:/My%20Web%20Sites/verapath/framerusercontent.com/images/INnVxaCloRc7oHsYIBXSV8zD4d4db.png	(from https://verapath.com/)
07:14:38	5851/5851	U-----	200	untouched ('')	image/png	etag:%22b2fcca085807d352c6c60b166f35e94b%22	https://framerusercontent.com/images/jthD1hPU5BuFAhohOgXiWTOwDqY.png?width=679&height=187	C:/My%20Web%20Sites/verapath/framerusercontent.com/images/jthD1hPU5BuFAhohOgXiWTOwDqY7c28.png	(from https://verapath.com/)
07:14:38	11139/11139	U-----	200	untouched ('')	image/png	etag:%2259dd9ef1bb02d8773db9cff88e8d1909%22	https://framerusercontent.com/images/FarKV5pENgwSgIZfn03JIjLNGys.png?width=929&height=324	C:/My%20Web%20Sites/verapath/framerusercontent.com/images/FarKV5pENgwSgIZfn03JIjLNGys5318.png	(from https://verapath.com/)
07:14:38	4559410/4559410	U-----	200	untouched ('')	image/jpeg	etag:%221738e4d52c97fa9298c93b801d92ae4e%22	https://framerusercontent.com/images/LXfmibxEAq2XRb4I973pMHc.jpg?width=4928&height=3264	C:/My%20Web%20Sites/verapath/framerusercontent.com/images/LXfmibxEAq2XRb4I973pMHc02d1.jpg	(from https://verapath.com/)
07:14:38	12497/12497	U-----	200	untouched ('')	image/png	etag:%2216e334d6c107ded9a71ca7ec21c302f5%22	https://framerusercontent.com/images/uCsMHlgTvALugSr3dL7yfhU2BmM.png?width=300&height=300	C:/My%20Web%20Sites/verapath/framerusercontent.com/images/uCsMHlgTvALugSr3dL7yfhU2BmMce86.png	(from https://verapath.com/)
07:14:38	1398353/1398353	U-----	200	untouched ('')	image/jpeg	etag:%2274883d47897331c32f4318761c1c03b4%22	https://framerusercontent.com/images/X45kreSZsm5DFF2be6T8o6YaJAQ.jpg?width=4272&height=2848	C:/My%20Web%20Sites/verapath/framerusercontent.com/images/X45kreSZsm5DFF2be6T8o6YaJAQba60.jpg	(from https://verapath.com/about)
07:14:40	3372012/3372012	U-----	200	untouched ('')	image/jpeg	etag:%22925f099c08f422f86e1177d9a84e14c9%22	https://framerusercontent.com/images/wJZFx2LWlf8WGeRtvpw5SaA9g.jpg?width=5760&height=3840	C:/My%20Web%20Sites/verapath/framerusercontent.com/images/wJZFx2LWlf8WGeRtvpw5SaA9g49da.jpg	(from https://verapath.com/contact)
07:14:40	8223687/8223687	U-----	200	untouched ('')	image/jpeg	etag:%2268f3aed05a585dc830b8688e03dbaa38%22	https://framerusercontent.com/images/Qe7qlO2XbTDlNCJx2l5tU061Eg.jpg?width=8640&height=5760	C:/My%20Web%20Sites/verapath/framerusercontent.com/images/Qe7qlO2XbTDlNCJx2l5tU061Eg324b.jpg	(from https://verapath.com/about)
07:14:40	1622387/1622387	U-----	200	untouched ('')	image/jpeg	etag:%2280e64a1d2b9c007f2a3267cd149ef734%22	https://framerusercontent.com/images/OlqPUCxSp4OCV5lBQozWPQAq4.jpg?width=3000&height=2000	C:/My%20Web%20Sites/verapath/framerusercontent.com/images/OlqPUCxSp4OCV5lBQozWPQAq4d526.jpg	(from https://verapath.com/about)
